date,age,height_cm,body_weight_kg,training_experience_months,sleep_hours,sleep_quality,stress_level,muscle_soreness,days_since_last_training_same_muscle,last_meal_calories,last_meal_carbs_g,last_meal_protein_g,last_meal_fat_g,minutes_since_last_meal,water_before_workout_ml,caffeine_mg,exercise,weight_lifted_kg,set_number,previous_session_reps,recent_average_reps,actual_reps,performance_class,readiness_score
2024-01-19,34,169.2,82.4,49,4.5,1,4,3,2,894,113.3,44.5,29.2,315,1074,150,Lat Pulldown,43.2,2,13,11.4,10,Normal,42.2
2024-01-20,38,161.6,79.9,43,7.8,3,3,4,6,390,38.3,24.6,15.4,339,116,50,Overhead Press,30.6,2,13,11.6,10,Below Normal,39.9
2024-01-21,27,175.8,76.6,34,5.0,3,1,5,4,504,66.8,27.7,14.0,60,1240,150,Lat Pulldown,49.9,2,12,10.7,11,Normal,59.4
2024-01-22,21,168.1,85.7,94,7.5,2,5,3,2,396,36.4,31.8,13.7,52,494,50,Squat,105.4,2,7,8.5,6,Below Normal,38.1
2024-01-23,28,175.8,89.1,40,6.8,3,4,4,5,1047,96.9,40.7,55.2,173,783,250,Barbell Row,53.5,2,11,10.1,9,Normal,48.7
2024-01-24,23,167.9,88.8,84,7.1,3,3,3,3,772,90.0,12.7,40.1,71,445,250,Barbell Row,60.0,3,7,8.1,8,Normal,65.4
2024-01-25,28,165.1,74.6,87,6.0,4,1,1,7,1043,156.1,16.1,39.4,188,695,0,Lat Pulldown,57.1,2,11,12.5,16,Above Normal,79.9
2024-01-26,35,177.1,95.4,80,7.9,3,5,4,2,604,63.3,35.0,23.4,221,1170,300,Bench Press,64.5,2,12,11.9,13,Normal,43.7
2024-01-27,21,176.4,79.2,33,5.4,2,4,1,7,593,74.6,53.0,9.2,114,378,250,Deadlift,72.8,4,9,10.4,12,Above Normal,61.8
2024-01-28,38,180.2,84.9,100,8.4,4,3,3,5,825,98.9,34.6,32.3,53,898,100,Bench Press,73.1,2,11,9.1,9,Normal,60.9
2024-01-29,24,194.7,79.9,29,6.5,3,1,5,1,733,102.7,23.1,25.5,348,180,100,Bench Press,56.7,1,15,15.8,17,Normal,40.9
2024-01-30,43,177.5,79.5,34,5.5,2,1,4,6,566,59.7,5.0,34.1,146,349,0,Lat Pulldown,46.7,1,7,7.2,7,Normal,46.2
2024-01-31,38,179.4,65.7,105,8.8,5,2,3,6,520,63.5,49.3,7.6,306,1058,300,Lat Pulldown,75.8,4,5,6.6,7,Normal,73.0
2024-02-01,25,165.3,85.8,41,6.9,2,2,2,4,686,100.8,24.0,20.8,232,895,0,Barbell Row,46.0,5,12,10.3,10,Normal,56.5
2024-02-02,33,163.4,115.8,84,9.1,4,2,5,2,314,34.0,17.8,11.9,245,956,300,Squat,87.0,4,9,9.9,8,Below Normal,59.6
2024-02-03,21,189.2,70.8,6,8.3,4,3,5,4,409,47.0,9.3,20.4,286,415,200,Squat,66.3,1,15,13.2,14,Normal,46.9
2024-02-04,20,166.7,77.0,74,6.1,2,1,2,5,287,41.1,13.4,7.7,110,388,300,Deadlift,114.2,3,14,12.1,13,Normal,57.0
2024-02-05,44,165.6,69.8,105,6.9,4,2,1,1,382,41.4,20.6,14.9,94,696,80,Bench Press,57.1,2,10,10.6,9,Below Normal,79.3
2024-02-06,40,174.6,69.2,86,7.1,3,5,3,3,419,46.6,31.4,11.9,359,280,300,Bench Press,73.8,2,12,11.8,10,Below Normal,33.8
2024-02-07,22,174.2,97.6,70,8.7,4,5,4,5,314,33.4,16.9,12.5,247,1344,100,Deadlift,112.3,5,11,11.7,11,Normal,53.8
2024-02-08,25,166.9,66.6,102,7.5,3,1,5,4,297,41.0,37.8,5.0,119,475,80,Squat,75.5,5,17,15.8,15,Normal,55.4
2024-02-09,23,172.3,69.4,36,7.2,3,4,5,7,947,137.9,31.3,30.0,240,1107,80,Overhead Press,33.5,4,11,11.1,10,Normal,44.0
2024-02-10,29,186.1,53.8,46,6.8,2,5,2,2,405,51.4,68.3,5.0,154,319,300,Deadlift,88.6,3,8,8.8,7,Below Normal,50.3
2024-02-11,26,167.7,65.4,9,6.9,2,3,2,6,722,91.3,9.4,35.5,313,1012,100,Lat Pulldown,38.4,3,11,11.0,11,Normal,67.8
2024-02-12,27,162.5,52.1,84,8.4,5,2,5,3,333,37.3,37.4,5.0,193,385,100,Lat Pulldown,48.5,5,2,4.0,2,Below Normal,62.3
2024-02-13,32,183.5,84.8,87,7.0,4,3,2,2,1056,93.2,37.6,59.2,126,494,200,Squat,100.4,4,10,10.4,10,Normal,73.4
2024-02-14,23,179.4,115.2,91,6.6,2,2,3,7,453,44.6,19.5,21.8,255,677,150,Lat Pulldown,71.9,3,14,13.2,12,Normal,46.3
2024-02-15,42,169.4,70.9,90,6.4,3,2,2,5,887,85.8,36.4,44.2,275,274,150,Lat Pulldown,61.0,1,12,12.0,13,Normal,55.5
2024-02-16,38,160.8,52.7,16,6.4,1,5,2,4,795,75.3,46.5,34.2,147,274,100,Deadlift,62.5,5,13,11.2,10,Normal,50.3
2024-02-17,39,168.3,88.6,80,5.5,2,4,3,3,904,116.1,36.4,32.7,276,1154,50,Squat,96.2,5,12,12.1,10,Below Normal,34.8
2024-02-18,22,174.5,65.8,92,6.2,3,3,2,7,785,75.4,55.8,28.9,99,584,300,Lat Pulldown,58.2,2,13,13.3,16,Above Normal,58.3
2024-02-19,37,185.5,94.2,25,8.6,4,1,3,1,683,63.4,5.0,45.5,101,895,100,Bench Press,45.4,2,12,14.1,16,Above Normal,87.9
2024-02-20,41,165.7,72.1,58,6.8,3,5,2,1,907,101.1,22.4,45.9,301,1005,300,Bench Press,63.8,5,11,11.6,11,Normal,46.8
2024-02-21,22,174.2,67.2,110,7.8,1,1,1,2,943,97.2,57.1,36.2,231,972,100,Bench Press,83.2,5,13,9.7,11,Normal,74.9
2024-02-22,39,181.1,73.5,50,4.3,1,4,4,5,573,55.4,48.7,17.4,31,979,150,Lat Pulldown,46.0,3,5,4.7,2,Below Normal,26.8
2024-02-23,28,153.6,86.6,91,7.6,4,2,5,1,1051,101.6,43.1,52.5,250,1466,150,Overhead Press,34.7,2,12,12.9,11,Below Normal,54.2
2024-02-24,40,184.3,72.8,64,6.8,3,2,3,6,1090,112.8,53.5,47.2,124,983,300,Lat Pulldown,40.3,4,10,11.8,11,Normal,69.7
2024-02-25,31,164.4,69.0,79,6.5,4,1,2,2,864,104.6,6.3,46.7,113,587,0,Lat Pulldown,52.1,4,8,10.9,7,Below Normal,73.0
2024-02-26,40,178.0,73.2,76,7.2,3,2,4,5,1040,140.3,46.9,32.4,164,498,150,Deadlift,109.7,5,8,8.8,8,Normal,68.1
2024-02-27,22,177.2,58.2,79,6.5,3,4,3,6,339,47.7,51.0,5.0,174,1221,50,Overhead Press,38.6,3,14,12.9,13,Normal,61.8
2024-02-28,28,184.8,81.6,94,4.7,1,3,3,7,709,95.3,25.1,25.3,324,690,250,Bench Press,65.1,3,9,9.9,8,Below Normal,38.3
2024-02-29,25,180.0,51.0,109,8.0,3,1,3,3,804,101.9,74.4,11.0,168,883,150,Bench Press,80.1,1,9,10.4,12,Above Normal,80.7
2024-03-01,24,153.6,69.8,36,7.3,2,2,4,1,1039,149.9,37.9,32.0,121,1241,300,Overhead Press,35.9,4,9,10.4,8,Below Normal,66.9
2024-03-02,26,167.9,86.6,112,6.7,1,1,1,6,352,42.2,5.0,18.1,283,429,80,Deadlift,131.4,2,13,11.6,13,Normal,51.4
2024-03-03,28,176.2,80.2,76,5.9,2,3,1,4,935,118.8,40.7,33.0,205,411,50,Overhead Press,44.7,2,8,7.6,7,Normal,55.4
2024-03-04,21,173.2,84.3,72,5.4,3,5,1,7,315,35.7,24.2,8.4,20,174,200,Lat Pulldown,50.7,4,11,11.9,8,Below Normal,35.7
2024-03-05,37,179.3,75.1,40,7.2,3,5,1,2,554,59.8,52.5,11.6,235,201,50,Overhead Press,30.1,2,8,8.7,9,Normal,56.2
2024-03-06,33,182.1,92.4,51,8.8,4,5,5,5,839,90.8,43.2,33.7,190,963,80,Overhead Press,34.2,2,12,8.8,10,Normal,56.6
2024-03-07,41,180.5,88.9,79,7.2,3,1,4,1,497,48.1,26.0,22.3,215,805,80,Overhead Press,38.2,5,15,12.7,12,Normal,60.5
2024-03-08,37,173.1,82.2,44,5.5,1,3,4,4,960,131.8,57.5,22.5,82,516,50,Squat,59.9,5,10,8.0,6,Below Normal,54.2
2024-03-09,22,158.4,89.0,35,7.2,4,1,4,1,1041,94.7,49.1,51.8,183,396,50,Bench Press,51.4,3,10,12.7,12,Normal,59.2
2024-03-10,19,170.9,86.5,99,6.9,1,3,1,6,385,49.9,22.6,10.6,240,1074,200,Deadlift,138.6,2,11,10.8,12,Normal,54.7
2024-03-11,29,178.7,69.8,50,8.0,3,3,2,5,469,66.4,32.7,8.1,250,219,250,Squat,89.6,1,5,6.4,7,Normal,57.0
2024-03-12,31,165.2,57.2,78,7.7,3,4,4,1,313,37.1,42.8,5.0,252,1081,100,Deadlift,119.9,4,15,13.9,12,Below Normal,41.4
2024-03-13,24,180.7,81.9,4,3.7,2,2,3,4,854,78.5,29.5,46.9,360,1367,80,Barbell Row,43.7,4,13,11.3,11,Normal,34.4
2024-03-14,39,183.2,83.6,10,7.6,3,1,3,3,1004,114.7,30.0,47.2,190,738,50,Squat,78.4,4,12,11.5,12,Normal,72.0
2024-03-15,34,176.1,91.3,102,5.9,1,3,4,5,761,82.9,35.6,31.9,166,793,200,Bench Press,63.8,4,12,13.0,11,Below Normal,39.4
2024-03-16,38,150.0,62.9,18,5.4,2,3,1,4,362,54.0,19.0,7.8,204,851,250,Squat,61.7,3,13,14.2,13,Normal,46.6
2024-03-17,21,163.5,63.3,96,6.8,2,4,4,4,397,51.9,5.0,18.8,132,233,150,Squat,112.4,4,12,11.0,10,Normal,42.1
2024-03-18,40,192.0,82.4,109,7.5,3,1,4,6,279,37.0,38.6,5.0,127,977,100,Overhead Press,46.3,4,13,12.0,11,Normal,66.3
2024-03-19,23,170.1,75.0,58,5.2,3,4,3,4,666,79.7,5.2,36.3,255,611,200,Overhead Press,34.6,4,12,11.4,9,Below Normal,45.2
2024-03-20,30,157.1,49.6,107,7.8,2,3,3,6,863,113.8,20.1,36.4,126,756,300,Lat Pulldown,67.2,4,10,9.6,10,Normal,64.3
2024-03-21,30,186.1,81.3,52,7.8,4,4,1,7,377,50.0,8.4,15.9,275,132,300,Overhead Press,34.7,1,7,6.5,9,Above Normal,53.5
2024-03-22,40,175.1,50.1,115,7.1,3,5,2,6,971,89.0,10.3,63.8,274,1329,50,Deadlift,116.7,4,11,11.0,9,Below Normal,61.8
2024-03-23,25,184.9,62.8,29,6.0,3,2,2,7,465,47.2,41.4,12.3,345,567,100,Lat Pulldown,40.5,5,15,13.9,13,Normal,58.2
2024-03-24,24,177.5,94.9,52,5.9,2,4,5,5,687,60.7,31.7,35.3,64,206,300,Bench Press,61.9,3,13,12.0,9,Below Normal,23.6
2024-03-25,27,179.1,101.5,47,8.1,4,1,1,4,818,97.6,31.1,33.7,143,1195,200,Bench Press,59.7,3,8,7.8,11,Above Normal,97.9
2024-03-26,28,178.3,59.0,95,5.3,2,5,2,4,709,100.8,15.3,27.2,283,1472,250,Bench Press,84.2,4,13,13.2,12,Normal,41.3
2024-03-27,23,181.3,71.4,6,8.2,4,3,1,2,656,82.4,25.2,25.1,166,828,300,Lat Pulldown,38.5,3,10,9.7,14,Above Normal,78.4
2024-03-28,22,195.5,76.6,100,6.8,2,4,2,6,536,63.7,40.6,13.2,243,146,0,Deadlift,118.3,3,4,5.3,4,Normal,50.1
2024-03-29,24,183.7,100.9,3,6.9,1,4,1,5,615,89.4,34.2,13.4,270,1489,150,Bench Press,54.3,5,12,13.0,13,Normal,57.6
2024-03-30,31,160.8,69.1,38,5.1,2,4,2,7,452,44.4,47.3,9.5,321,391,150,Deadlift,105.6,1,9,8.1,10,Above Normal,35.0
2024-03-31,27,179.0,69.3,72,6.8,3,2,4,5,500,46.1,49.5,13.1,97,436,80,Bench Press,66.1,5,14,15.0,14,Normal,56.6
2024-04-01,28,185.3,97.7,18,7.7,4,4,4,4,892,129.2,31.2,27.8,108,1092,200,Lat Pulldown,34.6,1,15,13.4,15,Above Normal,74.6
2024-04-02,38,185.8,70.8,59,5.5,2,3,2,3,1001,144.1,7.2,44.0,180,564,0,Deadlift,93.9,2,10,9.9,10,Normal,53.6
2024-04-03,24,171.2,86.1,120,7.5,4,4,4,7,972,126.5,23.7,41.2,192,219,100,Deadlift,115.3,4,13,11.6,11,Normal,48.6
2024-04-04,43,185.5,55.3,99,7.1,3,4,4,6,531,54.6,33.5,19.8,328,1056,100,Squat,100.6,4,18,16.6,17,Normal,50.9
2024-04-05,39,183.3,73.6,4,6.3,3,3,5,7,523,77.5,23.4,13.3,33,467,100,Overhead Press,26.9,5,14,13.0,9,Below Normal,31.0
2024-04-06,22,198.2,52.8,72,7.9,4,1,5,5,299,40.5,19.2,6.7,103,1307,150,Squat,107.3,2,10,11.1,12,Normal,75.8
2024-04-07,26,168.2,61.2,72,4.6,3,2,2,4,483,62.6,36.0,9.8,331,315,300,Bench Press,52.7,1,18,17.7,17,Normal,35.3
2024-04-08,23,170.4,87.7,9,7.4,3,5,3,1,748,75.9,71.5,17.6,229,1369,300,Bench Press,41.3,2,12,10.8,9,Below Normal,48.1
2024-04-09,25,172.2,75.3,79,8.8,3,3,4,1,477,57.0,27.7,15.4,250,1113,200,Barbell Row,63.6,3,10,12.0,12,Normal,52.8
2024-04-10,28,170.6,71.5,63,8.6,3,4,2,5,874,121.4,35.0,27.6,105,435,80,Barbell Row,61.4,2,11,8.2,11,Above Normal,68.2
2024-04-11,21,167.0,65.5,82,7.4,4,2,3,2,293,41.4,15.3,7.4,232,911,300,Lat Pulldown,39.5,2,10,6.3,7,Normal,67.0
2024-04-12,18,150.1,72.9,36,6.7,3,4,3,1,600,73.6,53.7,10.1,146,1414,300,Squat,60.6,5,11,9.8,10,Normal,63.9
2024-04-13,30,171.1,80.2,31,6.3,3,3,2,6,489,58.8,48.1,6.8,269,190,250,Barbell Row,48.2,3,12,10.6,8,Below Normal,55.1
2024-04-14,37,178.3,89.8,89,6.7,5,2,1,5,670,87.8,47.1,14.5,50,1248,250,Lat Pulldown,68.5,4,12,11.3,11,Normal,72.6
2024-04-15,26,170.6,45.0,87,7.6,4,1,1,1,271,32.7,55.4,5.0,116,744,250,Lat Pulldown,71.7,4,6,7.0,7,Normal,79.9
2024-04-16,42,192.4,64.4,20,6.1,2,2,4,4,606,68.8,28.6,24.0,239,1429,250,Deadlift,81.9,3,12,12.2,11,Normal,49.9
2024-04-17,28,175.1,78.2,26,7.8,3,3,5,4,920,85.4,30.5,50.7,225,392,200,Squat,71.3,4,10,8.4,8,Normal,49.6
2024-04-18,43,186.6,74.6,71,9.3,3,2,4,1,979,93.4,60.6,40.3,306,1107,200,Bench Press,58.2,5,11,12.0,11,Normal,66.3
2024-04-19,24,177.4,81.6,100,6.9,3,2,2,5,467,63.1,44.5,5.0,293,1455,200,Barbell Row,72.1,4,11,12.8,11,Below Normal,62.9
2024-04-20,33,182.4,79.7,25,5.5,2,2,1,3,614,54.7,5.0,41.7,24,581,100,Deadlift,104.7,2,9,9.5,9,Normal,48.2
2024-04-21,39,177.5,71.7,27,5.5,2,2,4,7,837,76.0,41.8,40.6,50,251,300,Squat,84.1,4,9,8.1,8,Normal,42.6
2024-04-22,19,187.3,68.6,97,7.9,2,4,1,1,644,92.8,26.3,18.6,140,649,200,Squat,99.0,2,13,14.4,14,Normal,68.3
2024-04-23,44,175.5,72.6,84,6.9,4,3,3,6,712,93.6,48.5,16.0,346,937,150,Overhead Press,37.8,1,12,12.7,16,Above Normal,61.8
2024-04-24,28,179.5,92.1,109,8.0,4,3,5,1,540,47.4,41.1,20.7,182,982,200,Bench Press,75.1,3,11,10.9,9,Below Normal,54.2
2024-04-25,31,178.3,65.8,95,6.4,3,1,1,6,962,102.9,8.9,57.2,324,775,0,Barbell Row,76.6,3,13,14.2,15,Normal,74.9
2024-04-26,35,172.4,75.1,115,7.9,4,3,3,6,787,106.4,39.0,22.8,40,1406,300,Lat Pulldown,61.7,3,7,10.7,10,Normal,61.6
2024-04-27,36,178.6,78.6,23,6.8,3,5,5,3,1067,121.2,38.2,47.7,348,909,150,Lat Pulldown,34.2,2,7,8.9,7,Below Normal,47.0
2024-04-28,18,195.1,97.8,33,6.2,3,4,2,2,913,106.6,40.5,36.1,40,997,300,Deadlift,88.1,2,8,8.0,9,Normal,47.5
2024-04-29,42,172.6,71.8,29,6.6,3,3,5,1,562,65.3,43.6,14.0,295,1440,0,Overhead Press,31.7,5,11,10.2,9,Normal,48.3
2024-04-30,35,178.8,89.4,7,5.7,2,2,5,3,528,52.9,57.4,9.6,319,1415,50,Overhead Press,22.8,2,13,12.4,11,Normal,31.3
2024-05-01,45,186.3,93.2,94,9.2,5,2,3,5,325,43.1,41.2,5.0,120,578,300,Overhead Press,44.9,4,15,14.0,16,Above Normal,78.8
2024-05-02,31,185.3,75.1,80,6.9,4,1,2,6,779,73.2,35.3,38.3,122,500,200,Bench Press,71.2,2,10,10.6,11,Normal,85.7
2024-05-03,35,175.1,73.0,11,7.7,3,1,4,2,887,105.7,52.2,28.4,218,1149,200,Deadlift,100.4,1,12,13.5,14,Normal,70.8
2024-05-04,30,153.5,71.4,24,6.4,3,4,4,1,551,54.1,68.6,6.7,266,835,100,Bench Press,43.7,1,11,10.0,11,Normal,44.0
2024-05-05,42,179.7,72.4,23,5.8,4,5,3,4,268,24.2,48.7,5.0,60,726,150,Deadlift,95.2,2,8,8.5,9,Normal,44.0
2024-05-06,41,155.0,88.0,49,6.7,2,5,1,5,952,91.8,38.1,48.0,100,1078,150,Squat,90.8,5,9,7.2,7,Normal,61.3
2024-05-07,43,188.2,79.2,55,8.2,4,4,4,7,439,62.3,41.5,5.0,277,1025,50,Bench Press,64.2,3,10,9.2,9,Normal,64.2
2024-05-08,32,176.5,79.3,35,6.4,3,5,2,6,745,73.4,38.8,32.9,295,1380,150,Bench Press,48.3,4,9,7.3,6,Normal,54.5
2024-05-09,40,184.0,60.2,112,6.0,2,3,1,4,295,30.9,35.3,5.0,72,612,150,Overhead Press,40.7,5,15,15.5,16,Normal,64.1
2024-05-10,28,166.9,62.5,26,7.2,2,2,1,5,303,29.1,67.5,5.0,323,1156,80,Bench Press,53.2,1,13,11.6,13,Normal,65.8
2024-05-11,30,161.0,106.0,68,7.5,3,2,3,5,1014,135.3,23.8,42.0,315,418,80,Barbell Row,59.6,1,13,10.3,11,Normal,61.3
2024-05-12,39,177.3,73.5,53,8.8,4,2,1,4,822,94.8,52.3,26.0,315,1412,250,Overhead Press,34.4,5,15,14.8,14,Normal,90.7
2024-05-13,20,174.7,65.2,47,7.4,2,4,2,5,254,37.2,33.1,5.0,102,217,200,Squat,93.1,3,8,7.2,9,Above Normal,55.6
2024-05-14,37,170.6,96.0,100,7.7,3,1,2,2,335,43.2,12.8,12.3,248,1151,100,Overhead Press,42.5,4,9,10.2,9,Normal,71.3
2024-05-15,18,175.8,79.9,118,7.8,4,5,3,6,669,80.8,32.2,24.1,74,242,150,Bench Press,59.9,2,17,15.5,16,Normal,52.1
2024-05-16,34,199.9,84.1,1,5.7,3,4,4,7,828,106.4,26.8,32.8,86,1333,50,Barbell Row,41.1,5,12,10.1,11,Normal,59.1
2024-05-17,31,182.5,74.1,56,5.9,3,2,3,4,610,54.9,43.7,24.0,44,1444,100,Deadlift,108.6,4,16,16.6,16,Normal,57.3
2024-05-18,31,184.4,71.5,15,5.8,1,4,3,4,992,145.7,36.4,29.3,188,1245,150,Lat Pulldown,43.7,2,13,12.5,11,Normal,42.0
2024-05-19,31,182.6,73.6,53,5.5,3,1,1,4,805,118.6,19.7,28.0,262,1204,80,Bench Press,62.3,4,14,13.8,13,Normal,78.3
2024-05-20,31,188.3,56.6,75,7.9,3,3,1,6,772,80.9,57.1,24.4,87,769,50,Deadlift,131.3,1,14,13.8,18,Above Normal,80.2
2024-05-21,29,173.3,74.8,50,7.3,4,1,5,2,496,62.9,51.4,5.0,83,443,150,Deadlift,86.6,2,12,10.5,10,Normal,64.5
2024-05-22,30,156.5,80.1,38,7.1,3,1,4,3,830,83.1,58.8,29.2,114,1480,300,Barbell Row,48.9,2,10,9.3,10,Normal,72.8
2024-05-23,33,173.3,101.9,38,4.1,1,1,1,5,993,120.9,38.6,39.4,87,841,100,Overhead Press,40.7,4,10,10.2,10,Normal,67.3
2024-05-24,39,182.3,77.2,36,9.3,4,4,3,5,291,39.5,34.5,5.0,304,1243,300,Deadlift,71.4,4,9,8.0,8,Normal,65.3
2024-05-25,33,166.3,45.0,40,6.0,2,4,1,3,874,127.8,45.6,20.0,77,1100,250,Squat,77.5,1,12,10.3,12,Above Normal,67.7
2024-05-26,35,173.4,74.7,45,9.3,5,5,1,1,998,108.5,26.3,51.0,114,1082,200,Squat,91.7,5,10,10.5,10,Normal,100.0
2024-05-27,41,168.8,114.4,83,5.4,2,5,2,4,617,80.7,37.0,16.2,124,593,300,Deadlift,131.8,5,15,14.7,12,Below Normal,41.0
2024-05-28,45,188.5,88.1,12,6.1,3,5,4,5,901,119.2,32.4,32.7,89,697,100,Deadlift,89.0,3,9,12.0,11,Normal,53.1
2024-05-29,21,181.7,64.6,5,4.6,3,5,4,6,554,56.1,13.1,30.8,340,716,250,Bench Press,50.7,2,17,16.4,16,Normal,27.4
2024-05-30,37,180.9,84.3,63,7.4,4,1,4,1,414,52.5,36.9,6.3,91,944,50,Lat Pulldown,46.3,3,7,5.1,5,Normal,75.1
2024-05-31,24,180.6,65.6,82,5.8,1,4,1,1,944,121.3,28.4,38.4,185,1106,80,Barbell Row,72.8,3,7,7.5,6,Normal,60.3
2024-06-01,23,174.7,57.0,32,5.8,3,4,1,3,514,69.5,31.4,12.3,213,378,150,Bench Press,46.4,4,10,9.6,9,Normal,49.0
2024-06-02,40,176.8,71.1,25,5.5,2,1,3,4,894,134.1,40.5,21.7,108,418,0,Overhead Press,27.8,2,14,14.2,13,Normal,61.7
2024-06-03,19,164.3,77.3,75,7.9,4,1,5,1,518,46.6,54.1,12.8,180,167,250,Bench Press,68.9,1,10,10.2,12,Above Normal,63.4
2024-06-04,41,155.3,49.8,47,7.8,3,5,4,2,589,59.0,22.3,29.3,78,837,300,Overhead Press,33.7,4,7,6.8,6,Normal,48.1
2024-06-05,39,176.4,59.9,89,9.0,3,5,4,3,833,80.4,30.0,43.5,184,1036,0,Squat,98.8,4,9,9.9,8,Below Normal,58.4
2024-06-06,45,177.9,76.1,18,6.2,4,2,1,2,540,52.5,23.5,26.2,26,394,300,Overhead Press,32.6,2,7,7.5,6,Below Normal,63.9
2024-06-07,36,185.9,70.3,15,7.2,2,1,5,5,937,108.6,22.5,45.8,169,1097,0,Lat Pulldown,50.9,4,6,7.0,5,Below Normal,59.8
2024-06-08,42,189.1,81.5,67,5.6,3,2,5,1,283,40.3,26.1,5.0,144,104,50,Lat Pulldown,56.7,3,16,15.5,13,Below Normal,46.9
2024-06-09,21,189.1,59.0,48,6.6,3,1,3,7,259,29.9,32.1,5.0,139,1313,250,Bench Press,54.2,3,10,9.6,10,Normal,65.3
2024-06-10,42,166.0,86.0,88,6.4,2,4,2,2,319,41.2,43.8,5.0,57,1067,200,Barbell Row,69.2,1,10,10.9,10,Normal,49.0
2024-06-11,22,171.8,59.4,61,7.5,3,2,4,4,468,52.0,39.8,11.2,360,1057,300,Squat,77.3,2,10,10.3,10,Normal,52.3
2024-06-12,26,179.3,99.0,43,8.1,3,1,4,7,295,31.7,19.1,10.2,29,1090,100,Bench Press,63.4,2,10,9.9,11,Normal,66.8
2024-06-13,21,197.8,52.0,20,8.1,4,5,5,5,573,80.0,54.4,5.0,69,602,150,Overhead Press,31.6,5,10,8.4,8,Normal,51.8
2024-06-14,29,188.3,60.7,20,6.1,2,5,1,7,270,34.7,49.2,5.0,55,1495,50,Squat,73.9,5,9,9.7,8,Below Normal,52.2
2024-06-15,38,185.1,81.8,91,8.1,3,5,3,1,893,97.7,21.5,46.2,353,1145,200,Lat Pulldown,46.7,5,12,11.3,12,Normal,60.6
2024-06-16,25,171.5,99.3,28,7.0,4,5,4,6,380,55.0,53.4,5.0,128,353,300,Lat Pulldown,32.8,3,13,14.0,14,Normal,44.2
